"SA51 Disposable Personal Income Summary: Disposable Personal Income, Population, and Per Capita Disposable Personal Income"
"Per capita disposable personal income (dollars) 2/" 
"Bureau of Economic Analysis" 
"State or DC"
"GeoFips","GeoName","1948","1949","1950","1951","1952","1953","1954","1955","1956","1957","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015"
"47000","Tennessee",913,906,980,1057,1104,1194,1209,1254,1334,1390,1433,1511,1519,1591,1639,1736,1859,2003,2172,2308,2528,2692,2919,3189,3515,3939,4293,4668,5113,5574,6234,6825,7403,8186,8714,9300,10347,10978,11713,12444,13485,14333,15160,15752,16969,17739,18468,19445,20091,20896,22756,23494,24804,25377,26256,27223,28672,29178,30194,31164,32379,32281,33242,34550,36276,36170,37131,38423
"48000","Texas",1109,1218,1277,1375,1440,1479,1521,1592,1665,1727,1753,1820,1819,1884,1927,1988,2141,2274,2439,2630,2835,3061,3356,3595,3863,4301,4707,5296,5767,6237,7047,7795,8627,9763,10438,11014,11945,12645,12861,13023,13857,14611,15557,16041,17080,17653,18240,19079,19974,21172,22571,23424,25006,26366,26616,27501,28572,30290,32088,33277,35645,34215,35198,37436,39554,39449,40988,41725
"49000","Utah",1195,1212,1302,1469,1501,1505,1502,1582,1657,1761,1784,1847,1906,1958,2085,2129,2261,2359,2463,2567,2701,2872,3178,3473,3743,4034,4390,4815,5206,5670,6273,6791,7346,8005,8448,8935,9739,10290,10665,11021,11660,12428,13143,13806,14500,15114,15786,16699,17666,18593,19630,20469,21707,22686,23358,23832,24987,26272,28206,29730,30864,29582,29788,31152,32440,32666,33586,34599
"50000","Vermont",1116,1054,1091,1231,1260,1314,1356,1404,1513,1584,1597,1677,1760,1832,1910,1940,2085,2273,2491,2629,2817,2992,3233,3533,3756,4118,4411,4779,5280,5599,6334,6979,7712,8604,9341,9917,10905,11647,12407,13236,14295,15543,15944,16223,17301,17788,18527,19379,20119,20900,22254,23379,24879,26267,27280,28764,30543,30814,32659,34130,35766,35940,36598,38580,40131,40244,41593,42654
"51000","Virginia",1117,1107,1241,1392,1465,1496,1534,1603,1657,1691,1725,1819,1845,1920,2018,2106,2323,2466,2622,2830,3072,3366,3636,3979,4289,4749,5149,5694,6145,6673,7422,8186,9159,10067,10861,11716,12932,13756,14601,15321,16578,17594,18253,18873,19811,20495,21213,21965,22673,23773,24781,25902,27593,28715,29845,31541,33414,35106,37019,38722,39796,39819,40508,42053,43705,42962,44141,45453
"53000","Washington",1521,1523,1656,1747,1825,1928,1963,1998,2039,2127,2116,2218,2264,2356,2485,2528,2695,2891,3136,3293,3534,3741,3936,4147,4426,4922,5476,6098,6607,7154,8002,8818,9674,10563,11294,12089,12902,13499,14312,14813,15818,16932,17967,18858,19865,20469,21078,21819,22899,24052,25647,26655,28415,29215,30266,31526,33685,34211,36168,38388,40074,39024,39371,40649,43032,42634,44412,45511
"54000","West Virginia",1026,955,986,1089,1121,1158,1120,1204,1340,1435,1455,1485,1499,1541,1625,1702,1836,1978,2097,2232,2348,2483,2793,3038,3299,3614,3939,4401,4777,5273,5842,6410,6981,7615,8133,8423,9185,9667,10073,10455,11403,12151,13036,13575,14652,15105,15670,16134,16769,17452,18155,18638,19737,20756,21945,22538,23387,23931,25680,26449,28205,28764,29347,30941,32231,31841,32686,33426
"55000","Wisconsin",1308,1275,1388,1566,1600,1633,1605,1685,1780,1839,1859,1981,1993,2051,2136,2166,2331,2476,2656,2762,2989,3215,3460,3737,4006,4457,4848,5338,5798,6417,7082,7895,8664,9362,9958,10620,11682,12288,12950,13523,14247,15411,16103,16557,17699,18364,19261,19992,20832,21814,23088,23896,25310,26372,27464,28468,29883,30505,32062,33250,34397,34661,35042,36480,37968,37857,39104,40095
"56000","Wyoming",1494,1576,1657,1822,1771,1791,1748,1809,1887,1999,2030,2100,2116,2202,2295,2303,2420,2547,2666,2843,3003,3265,3579,3930,4380,4949,5513,6079,6406,7184,8172,8962,9992,10947,11353,11317,12020,12693,12854,12782,13357,14755,16127,16776,17533,18190,18725,19418,19707,20949,22188,23578,24997,26772,28208,30350,32516,35119,38895,39801,43145,39566,40697,44480,46317,45884,48264,48725
"91000","New England",1374,1356,1500,1634,1693,1761,1781,1889,2006,2098,2083,2167,2220,2313,2416,2475,2644,2792,2981,3191,3383,3664,3970,4245,4498,4902,5302,5793,6221,6770,7447,8231,9249,10218,11161,12115,13555,14440,15409,16494,18177,19289,19796,20149,21273,21903,22678,23685,24583,25708,27019,28224,30312,31790,33122,34362,36232,37285,39805,41249,42780,43054,44005,45511,47765,46734,48487,49879
"92000","Mideast",1486,1478,1609,1711,1760,1849,1862,1950,2066,2161,2178,2264,2333,2397,2501,2578,2767,2915,3097,3297,3558,3762,4085,4406,4685,5101,5531,6082,6507,7052,7743,8467,9403,10346,11175,12088,13288,14133,14986,15806,17373,18628,19786,20133,21212,21688,22268,23291,24229,25275,26407,27429,29286,30114,31480,32677,34405,35500,37642,39354,40802,41117,42044,43483,45176,44492,45991,47282
"93000","Great Lakes",1453,1394,1539,1679,1724,1841,1807,1911,1997,2046,2028,2132,2176,2223,2325,2402,2580,2767,2947,3059,3274,3493,3683,3986,4272,4781,5164,5645,6130,6739,7411,8110,8830,9603,10218,10840,12014,12709,13409,13960,14974,15980,16821,17134,18316,18893,19830,20683,21553,22516,23671,24502,25978,26682,27490,28404,29649,30358,31807,32885,33984,33563,34101,35610,37006,37045,38185,39294
"94000","Plains",1347,1228,1365,1456,1523,1532,1598,1597,1655,1766,1867,1887,1940,1994,2114,2188,2301,2514,2673,2787,2998,3210,3485,3767,4087,4780,4965,5506,5811,6375,7161,7799,8366,9410,10030,10651,11926,12554,13193,13778,14367,15379,16182,16690,17770,18129,19150,19803,21035,21810,23052,23883,25374,26276,27206,28604,30097,30701,32101,33700,35664,35099,35751,37824,39504,39435,40432,40871
"95000","Southeast",945,925,1003,1115,1172,1231,1234,1316,1389,1430,1483,1551,1569,1631,1702,1790,1923,2058,2220,2385,2588,2826,3094,3360,3650,4077,4432,4861,5269,5736,6386,7006,7745,8604,9163,9862,10888,11527,12148,12755,13798,14799,15557,16098,17050,17699,18409,19245,19982,20753,21911,22684,23990,24907,25787,26819,28326,29522,31172,32314,33201,32720,33367,34579,35784,35451,36572,37681
"96000","Southwest",1105,1193,1234,1348,1419,1464,1495,1562,1635,1697,1749,1812,1824,1882,1924,1981,2129,2259,2414,2592,2807,3041,3342,3599,3865,4303,4688,5238,5679,6149,6918,7686,8523,9596,10219,10786,11715,12395,12707,12897,13685,14432,15246,15722,16645,17213,17829,18622,19440,20496,21790,22565,24134,25436,25876,26758,27946,29601,31441,32551,34615,33245,34080,36063,37974,37831,39286,40048
